b'cells',380546
b'expression',84238
b'cell',72257
b'mice',44284
b'levels',28420
b'control',28098
b'protein',26739
b'treated',23698
b'EGFR',22519
b'p53',21624
b'Hdac6',18924
b'analysis',18043
b'WT',17043
b'indicated',15264
b'Tg2576',15180
b'shown',14409
b'POLQ',14091
b'compared',13256
b'p62',13250
b'cells_dot_',13092
b'h',12774
b'actin',11931
b'Klf4',11908
b'\xc2\xb1',11368
b'transfected',11356
b'nuclear',10574
b'DNA',10485
b'invadopodia',10141
b'cancer',10001
b'embryos',9830
b'each',9667
b'used',9427
b'genes',9388
b'treatment',9313
b'proteins',8951
b'mean',8751
b'3',8718
b'(n',8637
b'24',8621
b'HOXA1',8473
b'\xce\xb21',8343
b'In',8299
b'B',8266
b'three',8099
b'10',8048
b'data',8044
b'BORIS',8008
b'neurons',7947
b'mRNA',7909
b'siRNA',7710
b'performed',7374
b'Western',7162
b'CDK5',7140
b'\xce\xb3H2AX',7100
b'following',7040
b'activity',7018
b'mitochondrial',6905
b'phosphorylation',6901
b'shRNA',6852
b'REX1',6776
b'CDC26',6760
b'n',6752
b'animals',6658
b'blot',6596
b'\xce\xb2-catenin',6556
b'prostate',6545
b'DNAJC14',6545
b'(A)',6543
b'(B)',6534
b'DOT1L',6520
b'independent',6513
b'FOXK2',6493
b'SOCS3',6476
b'Akt',6426
b'\xce\xbcM)',6425
b'+',6421
b'integrin',6365
b'EGF',6337
b'significant',6329
b'Tip60',6309
b'GOF',6300
b'lytic',6288
b'human',6280
b'KD',6150
b'which',6127
b'KRIT1\xe2\x88\x92/\xe2\x88\x92',6096
b'expressing',6072
b'HeLa',5868
b'ZEB1',5846
b'VEGF',5795
b'between',5793
b'promoter',5760
b'gene',5724
b'binding',5689
b'PML',5684
b'DJ-1',5661
b'SIK3',5628
b'Data',5625
b'then',5621
b'E-cadherin',5615
b'ZEBRA',5586
b'analyzed',5581
b'NFI-C',5577
b'2',5557
b'KRIT1',5550
b'staining',5546
b'expressed',5472
b'4',5421
b'ES',5409
b'RIPK1',5372
b'Trbl',5289
b'ELF',5280
b'infected',5263
b'ERG',5230
b'p',5230
b'liver',5219
b'\xce\x94/\xce\x94ep2',5162
b'activation',5055
b'lens',5053
b'lines',5052
b'NP\xe2\x80\x93C',5032
b'hours',5005
b'antibody',5000
b'PAQR3',4991
b'HDFC',4961
b'autophagy',4936
b'CDCP1',4917
b'TNF',4901
b'versus',4842
b'Fig_dot_',4829
b'Neogenin',4814
b'isoform',4788
b'PVRL4',4785
b'Rac1',4761
b'NF-\xce\xbaB',4755
b'mTOR',4726
b'cortical',4716
b'wt',4705
b'different',4691
b'HBx',4687
b'tumor',4673
b'MDA-MB-231',4672
b'EhCaBP3',4640
b'MEFs',4637
b'per',4600
b'P',4577
b'AhRR',4470
b'histone',4466
b'Cells',4465
b'muscle',4417
b'mutant',4411
b'antibodies',4399
b'IGF2',4386
b'ISG15',4368
b'knockdown',4356
b'lysates',4353
b'MAP4K4',4352
b'\xce\xbcM',4346
b'presence',4317
b'western',4314
b'ovarian',4303
b'increased',4295
b'JMJD2A',4290
b'presented',4251
b'AHCYL1',4228
b'spns1',4218
b'NDRG1',4209
b'Scale',4198
b'Aurora-A',4176
b'(C)',4158
b'Mn',4147
b'5',4142
b'resistance',4136
b'two',4119
b'results',4116
b'vector',4111
b'Src',4101
b'p120ctn',4080
b'mouse',4066
b'relative',4062
b'BSSG',4060
b'miR-200c',4052
b'difference',4040
b'detected',3980
b'ACTN4',3978
b'mice_dot_',3960
b'YFV',3960
b'TOCA-1',3960
b'infection',3944
b'KO',3943
b'Listeria',3924
b'glucose',3922
b'MYC',3919
b'BCR',3913
b'glutamate',3905
b'SET8',3892
b'BRAF',3886
b'during',3801
b'MIA',3780
b'ESCs',3753
b'A',3752
b'into',3742
b'pIgR\xe2\x88\x92/\xe2\x88\x92',3740
b'Cep85',3699
b'both',3697
b'48',3685
b'PKR',3680
b'IRF3',3608
b'KSHV',3584
b'c-Src',3570
b'IFI16',3570
b'lung',3566
b'days',3560
b'mHtt',3535
b'TEER',3520
b'but',3502
b'experiments',3480
b'PICALM',3472
b'MAD2L2',3420
b'DCX',3413
b'SKAP55',3410
b'LRP6',3406
b'mammary',3400
b'sFRP4',3384
b'BNRF1',3381
b'images',3368
"b'(P<0_dot_05),'",3364
b'KLF5',3359
b'APP',3336
b'Mfn2',3317
"b'cells,'",3312
b'VANGL2',3277
b'virus',3271
b'TRAF3',3264
b'signaling',3241
b'fibroblasts',3233
b'neural',3233
b'NQO1',3212
b'against',3206
b'eIF4E1',3186
b'also',3176
b'Let-7c',3174
b'EI24',3174
b'total',3161
b'IL-1\xce\xb1',3150
b'breast',3145
b'ATXN3L',3136
b'Sema7A',3131
b'TM',3124
b'inhibition',3121
b'LTK',3120
b'number',3116
b'oocytes',3110
b'experiments_dot_',3100
b'cyclin',3094
b'incubated',3088
b'miRNA',3081
b'representative',3064
b'rats',3038
b'MTA1',3036
b'GFP',3032
b'wild-type',3011
b'transduced',2989
b'14-3-3',2975
b'RNF168',2970
b'DcR3',2961
b'p190B',2958
b'Mel-RM',2948
b'Kif24',2945
b'R6/2',2937
b'Bax',2923
b'LNCaP',2922
b'Cx43',2920
b'hnRNP',2912
b'level',2906
b'effect',2896
b'determined',2890
b'either',2889
b'kinase',2883
b'subjected',2866
b'T',2859
b'TGF\xce\xb21TG',2849
b'NMuMG',2848
b'samples',2811
b'AKT',2802
b'D1',2799
b'replication',2735
b'time',2731
b'membrane',2730
b'PARP-1',2725
b'collagen',2722
b'LRRK2',2712
b'assay',2680
b'PNs',2680
b'miR-92a',2673
b'significantly',2663
b'under',2658
b'followed',2628
b'MCAF1',2622
b'CYP2D49',2620
b'ErbB3',2619
b'primary',2616
b'A/T',2610
b'differentiation',2608
b'vs_dot_',2607
b'USP9x',2604
b'HMBOX1',2604
b'PAD3',2600
b'group',2595
b'all',2585
b'viral',2583
b'RNA',2578
b'MAP1b-LC',2574
b'control_dot_',2571
b'ZO-1',2570
b'(lanes',2568
b'this',2555
b'GluR1',2553
b'NTRK1',2552
b'IL-13',2550
b'\xc2\xb5m_dot_',2538
b'formation',2536
b'loading',2531
b'mM',2513
b'A2/B1',2511
b'Phafin2',2511
b'MKP2',2508
b'PCR',2507
b'WDR73',2496
b'PDK1',2496
b'pathway',2494
b'cycle',2478
b'Nek2',2470
b'Nrf2',2467
b'fat',2451
b'erlotinib',2435
b'eIF4E3',2432
b'untreated',2420
b'MM200',2418
b'p150',2413
b'Figure',2408
b'MIER1\xce\xb1',2407
b'showing',2404
b'et',2401
b'show',2395
b'induction',2386
b'4-OHT',2385
b'induced',2381
b'20',2379
b'indicate',2353
b'JMJD1C',2350
b'(D)',2350
b'normalized',2347
b'measured',2345
b'stained',2344
b'growth',2340
b'OPN',2337
b'represent',2336
b'DOR',2322
b'cultured',2316
b'\xe2\x80\x93',2312
b'months',2308
b'Tg',2306
b'vehicle',2305
b'values',2295
b'absence',2283
b'CD47',2277
b'thymidine',2275
b'tissue',2269
b'DA',2261
b'\xc2\xb5M',2260
b'Cell',2254
b'body',2242
b'h_dot_',2233
b'knockout',2227
b'granule',2227
b'HIV-1',2226
b'brain',2226
b'overexpressing',2225
b'Tip60-p400',2223
b'medium',2216
b'lapatinib',2208
b'Quantification',2208
b'insulin',2203
b'Shox2',2200
b'mutations',2185
b'melanoma',2177
b'normal',2171
b'individual',2161
b'invadopodium',2158
b'without',2152
b'offspring',2147
b'A549',2137
b'PTEN',2132
b'HCMV',2128
b'apical',2118
b'survivin',2117
b'HMG20b',2116
b'interaction',2110
b'Nek2A',2108
b'Ad5',2106
b'endothelial',2088
b'described',2086
b'ROS',2082
b'ATRA',2079
